Time,1,2,3
0,10.67108534,10.67108534,10.67108534
2,79.52331039,79.52331039,79.52331039
10,71.31512052,71.31512052,71.31512052
11,43.63221148,43.63221148,43.63221148
12,17.2753765,17.2753765,17.2753765
20,3.899894895,3.899894895,3.899894895
21,60.79289569,60.79289569,60.79289569
22,78.89001127,78.89001127,78.89001127
30,71.64333375,71.64333375,71.64333375
31,24.78904683,24.78904683,24.78904683
32,9.053341023,9.053341023,9.053341023
40,5.430883129,5.430883129,5.430883129
50,2.828075121,2.828075121,2.828075121
60,8.432649483,8.432649483,8.432649483
